lon,lat,mag,time_string,depth,catalog_id,event_id
21.03,37.88,4.8,2014-01-11T04:12:58,10.0,,20140111104000
20.45,38.25,6.1,2014-01-26T13:55:44,17.0,,20140126104002
20.34,38.29,5.4,2014-01-26T18:45:09,15.0,,20140126104001
20.26,38.14,4.72,2014-01-26T21:15:34,10.0,,20140126300014
20.34,38.33,4.9,2014-02-01T16:33:45,20.0,,20140201104000
20.39,38.23,6.0,2014-02-03T03:08:47,14.0,,20140203104001
20.35,38.19,4.73,2014-02-09T08:22:59,9.0,,20140209066013
20.32,38.2,4.82,2014-02-12T10:34:31,7.5,,20140212066013
20.25,38.21,4.7,2014-02-14T03:38:35,15.0,,20140214104001
20.31,38.31,4.8,2014-02-15T07:31:18,16.0,,20140215104000
20.12,38.06,4.8,2014-03-05T12:49:20,16.0,,20140305104001
14.83,45.76,5.0,2014-03-13T17:32:01,10.0,,20140313104000
6.71,44.51,4.8,2014-04-07T19:26:01,7.86,,20140407190001
6.62,44.59,4.9,2014-04-07T19:27:01,10.0,,20140407104000
25.86,34.09,5.1,2014-04-14T20:41:26,26.0,,20140414104000
19.2,41.92,5.13,2014-04-21T21:25:28,20.0,,20140421322000
21.6,35.55,4.7,2014-04-25T02:56:34,24.0,,20140425104000
25.2,38.23,4.8,2014-04-30T04:03:34,16.0,,20140430104000
20.15,39.8,4.9,2014-05-12T01:54:35,20.0,,20140512104001
19.81,40.98,5.1,2014-05-19T01:59:20,30.0,,20140519104001
20.03,40.95,5.13,2014-05-19T04:43:26,14.0,,20140519322007
25.38,40.28,6.8,2014-05-24T09:25:03,20.0,,20140524104000
26.24,40.43,5.1,2014-05-24T09:31:18,7.2,,20140524290001
26.13,40.43,4.9,2014-05-25T11:38:40,14.0,,20140525104001
24.64,34.65,4.91,2014-06-01T12:05:51,0.1,,20140601066013
26.2,34.16,4.7,2014-07-22T08:04:19,30.0,,20140722104000
24.84,34.79,5.0,2014-08-08T08:20:48,13.1,,20140808066006
27.71,35.34,4.8,2014-08-21T20:37:18,20.0,,20140821104001
23.5,39.91,5.1,2014-08-22T04:27:56,13.0,,20140822104002
30.7,37.73,5.0,2014-08-24T19:43:36,17.0,,20140824104001
24.83,40.13,4.9,2014-09-04T17:43:41,11.0,,20140904104002
21.74,38.38,5.0,2014-09-21T01:43:42,10.0,,20140921104002
26.3,34.45,4.9,2014-10-03T22:20:46,12.0,,20141003104000
20.4,38.15,4.92,2014-11-07T07:41:39,10.0,,20141107300001
22.15,38.35,5.0,2014-11-07T17:13:03,10.0,,20141107104000
20.47,38.09,5.1,2014-11-08T23:15:47,24.0,,20141108104000
28.83,37.06,4.7,2014-11-10T06:16:43,10.0,,20141110104001
23.4,38.66,5.2,2014-11-17T23:05:57,14.0,,20141117104001
23.32,38.63,5.1,2014-11-17T23:09:05,14.0,,20141117104000
26.27,38.9,5.1,2014-12-06T01:45:08,10.0,,20141206104001
26.28,38.83,4.9,2014-12-06T06:20:55,10.0,,20141206104000
19.27,41.65,4.7,2014-12-29T20:34:14,18.0,,20141229104000
20.32,37.38,4.91,2015-01-02T06:16:28,5.2,,20150102060003
23.22,36.43,4.91,2015-03-13T13:33:08,16.7,,20150313130002
20.0,37.3,4.73,2015-03-16T11:18:32,8.2,,20150316110007
32.34,34.81,5.16,2015-04-15T08:25:12,14.0,,20150415080008
32.37,34.82,5.33,2015-04-15T08:25:12,27.62,,20150415080006
26.79,35.15,6.07,2015-04-16T18:07:44,29.0,,20150416180014
26.9,35.18,4.82,2015-04-16T18:52:37,29.0,,20150416180015
26.67,35.2,4.73,2015-04-17T10:23:46,15.3,,20150417100006
26.74,34.96,4.82,2015-04-17T16:39:41,11.1,,20150417160003
23.14,36.48,4.91,2015-04-18T16:46:50,18.6,,20150418160003
25.78,34.45,4.91,2015-05-02T08:23:46,13.4,,20150502080002
23.33,38.65,5.16,2015-06-09T01:09:03,10.0,,20150609010001
26.67,35.06,5.33,2015-06-09T21:49:48,28.1,,20150609210001
35.04,36.49,4.91,2015-07-29T22:01:53,10.0,,20150729220002
25.63,34.32,4.82,2015-08-27T01:25:06,11.2,,20150827000006
24.59,34.69,4.82,2015-09-29T09:12:40,24.7,,20150929090002
36.76,40.81,4.86,2015-10-09T14:39:17,10.0,,20151009140001
20.51,38.76,6.38,2015-11-17T07:10:08,10.0,,20151117070006
20.5,38.8,4.97,2015-11-17T08:33:43,17.8,,20151117080002
20.65,38.7,4.73,2015-11-17T12:37:56,4.8,,20151117120003
20.6,38.87,4.97,2015-11-18T12:15:40,10.0,,20151118120003
20.56,38.75,4.81,2015-11-18T13:03:16,10.0,,20151118130001
20.38,38.62,4.86,2015-11-20T05:12:26,10.0,,20151120050002
37.85,38.9,5.02,2015-11-29T01:28:13,10.0,,20151129000003
40.24,39.28,5.3,2015-12-02T23:27:06,5.0,,20151202230007
21.16,37.83,4.82,2015-12-12T08:34:45,28.9,,20151212080004
34.42,39.61,4.76,2016-01-10T17:40:49,9.1,,20160110170001
25.83,34.98,4.73,2016-02-05T23:01:29,16.9,,20160205230002
21.89,37.6,5.16,2016-02-15T18:55:01,18.0,,20160215180001
26.32,35.18,4.91,2016-02-18T02:40:24,28.1,,20160218020004
20.19,37.52,5.16,2016-03-29T01:05:31,10.0,,20160329010001
25.67,34.24,4.8,2016-04-03T01:46:17,10.0,,20160403000001
25.74,34.98,4.91,2016-04-16T01:10:40,8.9,,20160416000003
20.94,41.2,4.7,2016-05-21T16:33:09,10.0,,20160521160004
20.96,41.17,4.76,2016-05-21T16:41:32,19.6,,20160521160003
26.18,34.98,5.36,2016-05-25T08:36:15,23.9,,20160525080003
44.02,41.39,4.75,2016-07-12T10:14:04,10.0,,20160712100001
13.18,42.74,6.16,2016-08-24T01:36:33,10.0,,20160824010003
13.11,42.79,5.46,2016-08-24T02:33:30,10.0,,20160824020013
13.16,42.82,4.73,2016-08-24T11:50:30,9.8,,20160824110019
13.17,42.67,4.8,2016-08-26T04:28:28,10.0,,20160826040001
21.43,42.0,5.06,2016-09-11T13:10:08,17.2,,20160911130001
27.74,38.9,5.0,2016-09-12T08:26:04,14.0,,20160912080006
20.67,39.82,5.39,2016-10-15T20:14:49,23.4,,20161015200009
20.65,39.8,4.71,2016-10-16T01:10:01,25.9,,20161016000006
20.66,39.78,5.0,2016-10-16T01:41:13,14.3,,20161016000011
20.75,39.74,4.82,2016-10-16T01:48:17,10.3,,20161016000010
20.67,39.77,5.0,2016-10-16T02:21:02,15.8,,20161016020013
20.69,39.78,5.09,2016-10-16T03:40:20,20.4,,20161016030011
20.61,39.76,4.76,2016-10-16T03:40:21,20.2,,20161016030009
13.11,42.95,5.46,2016-10-26T17:10:38,10.0,,20161026170001
13.12,42.99,6.06,2016-10-26T19:18:08,10.0,,20161026190003
13.16,42.98,4.76,2016-10-26T19:43:46,10.0,,20161026190002
13.13,42.89,6.49,2016-10-30T06:40:19,10.0,,20161030060002
13.11,42.83,4.86,2016-11-01T07:56:42,10.0,,20161101070002
34.31,40.76,4.7,2016-11-02T11:57:42,8.8,,20161102110007
13.07,43.08,4.7,2016-11-03T01:35:03,8.5,,20161103000002
22.69,40.99,4.86,2016-11-18T23:22:48,5.4,,20161118230001
26.12,39.55,4.7,2017-01-14T22:38:01,10.6,,20170114220006
13.28,42.66,5.26,2017-01-18T09:25:42,10.0,,20170118090001
13.27,42.6,5.66,2017-01-18T10:14:11,10.0,,20170118100008
13.28,42.53,4.87,2017-01-18T10:15:33,8.8,,20170118100064
13.27,42.54,4.74,2017-01-18T10:16:39,8.2,,20170118100063
13.34,42.56,5.54,2017-01-18T10:25:26,10.0,,20170118100007
13.32,42.6,5.11,2017-01-18T13:33:39,10.0,,20170118130002
28.8,35.92,4.91,2017-01-27T20:51:26,6.0,,20170127200006
26.17,39.54,5.27,2017-02-06T03:51:42,10.0,,20170206030001
26.15,39.52,5.11,2017-02-06T10:58:02,10.0,,20170206100002
26.12,39.48,5.3,2017-02-07T02:24:04,10.0,,20170207020001
26.17,39.5,5.2,2017-02-12T13:48:17,10.0,,20170212130002
24.94,34.78,4.73,2017-02-15T23:01:24,12.1,,20170215230002
38.46,37.63,5.48,2017-03-02T11:07:27,10.0,,20170302110003
21.77,38.32,4.73,2017-04-05T15:43:29,13.6,,20170405150003
28.71,37.05,4.8,2017-04-13T16:22:17,10.0,,20170413160001
29.16,38.76,5.02,2017-04-21T13:09:23,10.0,,20170421130001
27.78,38.65,5.03,2017-04-21T14:12:24,10.0,,20170421140001
21.4,35.29,4.71,2017-04-27T12:04:27,10.0,,20170427120001
40.71,40.07,4.8,2017-05-11T17:57:01,5.0,,20170511170004
40.76,40.17,4.76,2017-05-11T17:58:03,10.0,,20170511170001
27.52,35.92,4.92,2017-05-17T11:30:33,16.7,,20170517110001
27.94,38.75,5.14,2017-05-27T15:53:25,10.0,,20170527150003
27.78,38.72,4.8,2017-05-28T02:50:25,9.4,,20170528020017
27.89,38.68,4.74,2017-05-28T02:52:57,10.0,,20170528020004
27.86,38.75,4.9,2017-05-28T11:05:01,10.0,,20170528110001
26.36,38.86,6.36,2017-06-12T12:28:37,9.3,,20170612120002
26.5,38.86,5.22,2017-06-17T19:50:06,10.0,,20170617190003
26.55,38.8,4.94,2017-06-22T02:48:53,10.0,,20170622020001
20.86,41.07,4.96,2017-07-03T11:18:20,5.0,,20170703110001
25.42,34.81,5.29,2017-07-15T20:30:17,10.0,,20170715200002
27.49,36.9,6.59,2017-07-20T22:31:10,11.0,,20170720220011
27.31,36.96,4.9,2017-07-20T23:23:51,12.2,,20170720230046
27.32,36.89,5.0,2017-07-21T17:09:50,23.1,,20170721170009
24.07,34.54,5.23,2017-07-31T21:29:14,27.6,,20170731210002
27.65,36.96,4.76,2017-08-07T05:18:50,10.0,,20170807050003
27.65,36.9,5.26,2017-08-08T07:42:22,10.0,,20170808070001
27.81,37.05,4.98,2017-08-13T11:16:55,10.0,,20170813110001
21.53,39.15,5.09,2017-09-11T16:20:15,8.3,,20170911160002
24.21,39.13,4.97,2017-10-11T22:49:44,10.0,,20171011220001
28.71,37.08,5.01,2017-11-22T20:22:54,10.0,,20171122200004
21.44,36.81,4.73,2017-11-24T18:51:43,26.1,,20171124180004
28.6,37.01,5.26,2017-11-24T21:49:17,10.0,,20171124210001
23.18,34.3,4.91,2017-12-20T04:18:18,6.7,,20171220040004
22.9,38.19,4.71,2017-12-31T04:02:19,10.0,,20171231040000
22.87,41.21,4.76,2018-01-02T04:24:18,10.7,,20180102040001
20.35,37.79,5.0,2018-02-21T23:44:55,17.7,,20180221230005
23.72,39.91,4.83,2018-04-21T01:20:08,10.0,,20180421000002
38.52,37.66,5.04,2018-04-24T01:34:31,10.0,,20180424000002
23.01,36.41,4.96,2018-05-16T22:30:03,7.0,,20180516220002
21.38,36.82,5.36,2018-06-25T05:14:47,10.0,,20180625050001
19.64,41.53,5.12,2018-07-04T09:01:08,14.7,,20180704090005
25.99,34.91,4.73,2018-07-13T12:42:39,4.7,,20180713120003
29.92,37.56,4.78,2018-07-23T02:40:27,10.0,,20180723020002
20.0,41.56,5.02,2018-08-11T15:38:37,28.3,,20180811150001
14.83,41.92,5.15,2018-08-16T18:19:07,10.0,,20180816180001
36.35,37.37,4.8,2018-08-19T15:22:14,6.7,,20180819150003
21.62,39.35,4.99,2018-08-31T07:12:26,16.0,,20180831070001
-10.66,40.2,4.71,2018-09-04T06:12:54,10.0,,20180904060002
31.15,36.13,5.22,2018-09-12T06:21:45,10.0,,20180912060004
21.24,36.88,5.27,2018-09-27T10:21:53,10.0,,20180927100001
14.88,37.63,4.72,2018-10-06T01:34:19,6.0,,20181006000005
20.53,37.33,5.11,2018-10-25T22:22:53,7.16,,20181025220006
20.61,37.52,6.81,2018-10-25T22:54:51,10.0,,20181025220002
20.66,37.14,5.44,2018-10-25T23:09:20,7.79,,20181025230019
20.68,37.47,4.8,2018-10-26T01:13:39,8.03,,20181026000021
20.94,37.39,4.74,2018-10-26T01:23:13,8.03,,20181026000019
20.34,37.68,4.81,2018-10-26T01:32:54,8.01,,20181026000017
20.86,37.39,4.73,2018-10-26T01:06:03,5.6,,20181026010019
20.51,37.36,5.11,2018-10-26T05:48:36,8.08,,20181026050007
20.42,37.41,4.73,2018-10-26T06:20:50,10.11,,20181026060015
20.54,37.38,4.82,2018-10-26T12:41:13,7.3,,20181026120011
20.59,37.42,4.73,2018-10-26T16:07:09,6.7,,20181026160012
20.48,37.45,4.77,2018-10-26T20:21:03,7.65,,20181026200010
20.64,37.47,4.82,2018-10-27T05:28:46,5.1,,20181027050008
20.51,37.56,5.1,2018-10-30T02:59:58,10.0,,20181030020003
20.43,37.48,5.0,2018-10-30T08:32:26,11.3,,20181030080003
20.55,37.51,4.8,2018-10-30T12:49:05,10.87,,20181030120002
20.56,37.53,5.61,2018-10-30T15:12:01,10.0,,20181030150003
20.57,37.37,4.82,2018-11-01T02:44:48,11.3,,20181101020003
20.62,37.07,4.7,2018-11-03T01:10:06,10.0,,20181103010004
20.26,37.55,4.78,2018-11-03T08:05:52,8.7,,20181103080004
20.41,37.38,5.09,2018-11-04T03:12:44,5.2,,20181104030006
20.49,37.63,4.73,2018-11-05T06:46:12,8.3,,20181105060005
43.6,42.49,5.02,2018-11-06T01:17:19,14.1,,20181106010000
20.5,37.74,4.9,2018-11-11T23:38:36,10.0,,20181111230001
20.55,37.14,4.91,2018-11-12T06:50:27,10.0,,20181112060003
20.67,37.54,4.78,2018-11-15T09:02:06,10.0,,20181115090004
20.65,37.49,4.73,2018-11-15T09:09:26,6.8,,20181115090008
20.65,37.24,5.07,2018-11-19T13:05:57,10.0,,20181119130001
20.8,37.32,4.82,2018-12-25T01:41:27,12.3,,20181225010002
15.12,37.64,5.02,2018-12-26T02:19:14,-0.3,,20181226020006
23.81,34.63,4.82,2019-01-01T11:40:04,12.3,,20190101110002
20.56,39.13,5.34,2019-02-05T02:26:11,10.0,,20190205020001
33.01,40.58,4.8,2019-02-12T17:14:29,5.0,,20190212170009
26.41,39.62,5.0,2019-02-20T18:23:27,8.2,,20190220180007
20.94,37.62,4.79,2019-02-28T20:09:27,11.27,,20190228200003
21.06,37.76,4.75,2019-03-17T11:49:39,23.19,,20190317110002
29.52,37.47,5.67,2019-03-20T06:34:29,16.9,,20190320060006
29.42,37.47,4.8,2019-03-20T06:38:19,6.9,,20190320060022
