lon,lat,mag,time_string,depth,catalog_id,event_id
20.45,38.25,6.1,2014-01-26T13:55:44,17.0,,0
14.83,45.76,5.0,2014-03-13T17:32:01,10.0,,1
6.62,44.59,4.9,2014-04-07T19:27:01,10.0,,2
25.86,34.09,5.1,2014-04-14T20:41:25.999000,26.0,,3
19.2,41.92,5.1,2014-04-21T21:25:27.999000,20.0,,4
21.6,35.55,4.7,2014-04-25T02:56:33.999000,24.0,,5
25.2,38.23,4.8,2014-04-30T04:03:34,16.0,,6
20.15,39.8,4.9,2014-05-12T01:54:34.999000,20.0,,7
20.03,40.95,5.1,2014-05-19T04:43:25.999000,14.0,,8
25.38,40.28,6.8,2014-05-24T09:25:03,20.0,,9
24.64,34.65,4.9,2014-06-01T12:05:51,0.1,,10
27.71,35.34,4.8,2014-08-21T20:37:17.999000,20.0,,11
23.5,39.91,5.1,2014-08-22T04:27:56,13.0,,12
30.7,37.73,5.0,2014-08-24T19:43:36,17.0,,13
21.74,38.38,5.0,2014-09-21T01:43:41.999000,10.0,,14
28.83,37.06,4.7,2014-11-10T06:16:42.999000,10.0,,15
23.4,38.66,5.2,2014-11-17T23:05:56.999000,14.0,,16
26.27,38.9,5.1,2014-12-06T01:45:08,10.0,,17
19.27,41.65,4.7,2014-12-29T20:34:13.999000,18.0,,18
20.32,37.38,4.9,2015-01-02T06:16:28,5.2,,19
23.22,36.43,4.9,2015-03-13T13:33:08,16.7,,20
32.37,34.82,5.3,2015-04-15T08:25:12,27.62,,21
26.79,35.15,6.1,2015-04-16T18:07:44,29.0,,22
25.78,34.45,4.9,2015-05-02T08:23:46,13.4,,23
35.04,36.49,4.9,2015-07-29T22:01:53,10.0,,24
24.59,34.69,4.8,2015-09-29T09:12:40,24.7,,25
36.76,40.81,4.9,2015-10-09T14:39:16.999000,10.0,,26
20.51,38.76,6.4,2015-11-17T07:10:07.999000,10.0,,27
37.85,38.9,5.0,2015-11-29T01:28:12.999000,10.0,,28
40.24,39.28,5.3,2015-12-02T23:27:06,5.0,,29
21.16,37.83,4.8,2015-12-12T08:34:44.999000,28.9,,30
34.42,39.61,4.8,2016-01-10T17:40:48.999000,9.1,,31
25.83,34.98,4.7,2016-02-05T23:01:29,16.9,,32
21.89,37.6,5.2,2016-02-15T18:55:01,18.0,,33
20.19,37.52,5.2,2016-03-29T01:05:30.999000,10.0,,34
25.67,34.24,4.8,2016-04-03T01:46:16.999000,10.0,,35
20.96,41.17,4.8,2016-05-21T16:41:31.999000,19.6,,36
44.02,41.39,4.8,2016-07-12T10:14:04,10.0,,37
21.43,42.0,5.1,2016-09-11T13:10:07.999000,17.2,,38
27.74,38.9,5.0,2016-09-12T08:26:03.999000,14.0,,39
20.67,39.82,5.4,2016-10-15T20:14:48.999000,23.4,,40
13.13,42.89,6.5,2016-10-30T06:40:18.999000,10.0,,41
34.31,40.76,4.7,2016-11-02T11:57:42,8.8,,42
22.69,40.99,4.9,2016-11-18T23:22:48,5.4,,43
28.8,35.92,4.9,2017-01-27T20:51:26,6.0,,44
26.12,39.48,5.3,2017-02-07T02:24:04,10.0,,45
24.94,34.78,4.7,2017-02-15T23:01:24,12.1,,46
38.46,37.63,5.5,2017-03-02T11:07:26.999000,10.0,,47
21.77,38.32,4.7,2017-04-05T15:43:29,13.6,,48
28.71,37.05,4.8,2017-04-13T16:22:16.999000,10.0,,49
29.16,38.76,5.0,2017-04-21T13:09:22.999000,10.0,,50
27.78,38.65,5.0,2017-04-21T14:12:24,10.0,,51
21.4,35.29,4.7,2017-04-27T12:04:27,10.0,,52
40.71,40.07,4.8,2017-05-11T17:57:01,5.0,,53
27.52,35.92,4.9,2017-05-17T11:30:33,16.7,,54
27.94,38.75,5.1,2017-05-27T15:53:24.999000,10.0,,55
26.36,38.86,6.4,2017-06-12T12:28:37,9.3,,56
20.86,41.07,5.0,2017-07-03T11:18:19.999000,5.0,,57
27.49,36.9,6.6,2017-07-20T22:31:10,11.0,,58
24.07,34.54,5.2,2017-07-31T21:29:14,27.6,,59
21.53,39.15,5.1,2017-09-11T16:20:15,8.3,,60
24.21,39.13,5.0,2017-10-11T22:49:44,10.0,,61
21.44,36.81,4.7,2017-11-24T18:51:43,26.1,,62
28.6,37.01,5.3,2017-11-24T21:49:16.999000,10.0,,63
23.18,34.3,4.9,2017-12-20T04:18:18,6.7,,64
22.9,38.19,4.7,2017-12-31T04:02:18.999000,10.0,,65
22.87,41.21,4.8,2018-01-02T04:24:17.999000,10.7,,66
20.35,37.79,5.0,2018-02-21T23:44:54.999000,17.7,,67
23.72,39.91,4.8,2018-04-21T01:20:07.999000,10.0,,68
38.52,37.66,5.0,2018-04-24T01:34:31,10.0,,69
23.01,36.41,5.0,2018-05-16T22:30:02.999000,7.0,,70
21.38,36.82,5.4,2018-06-25T05:14:47,10.0,,71
19.64,41.53,5.1,2018-07-04T09:01:08,14.7,,72
25.99,34.91,4.7,2018-07-13T12:42:38.999000,4.7,,73
29.92,37.56,4.8,2018-07-23T02:40:26.999000,10.0,,74
14.83,41.92,5.2,2018-08-16T18:19:07,10.0,,75
36.35,37.37,4.8,2018-08-19T15:22:13.999000,6.7,,76
21.62,39.35,5.0,2018-08-31T07:12:26,16.0,,77
-10.66,40.2,4.7,2018-09-04T06:12:54,10.0,,78
31.15,36.13,5.2,2018-09-12T06:21:44.999000,10.0,,79
14.88,37.63,4.7,2018-10-06T01:34:19,6.0,,80
20.61,37.52,6.8,2018-10-25T22:54:51,10.0,,81
43.6,42.49,5.0,2018-11-06T01:17:19,14.1,,82
23.81,34.63,4.8,2019-01-01T11:40:04,12.3,,83
20.56,39.13,5.3,2019-02-05T02:26:10.999000,10.0,,84
33.01,40.58,4.8,2019-02-12T17:14:28.999000,5.0,,85
26.41,39.62,5.0,2019-02-20T18:23:27,8.2,,86
29.52,37.47,5.7,2019-03-20T06:34:28.999000,16.9,,87
38.15,38.75,4.7,2019-03-25T11:29:22.999000,5.1,,88
22.22,38.34,5.2,2019-03-30T10:46:20,10.0,,89
39.09,38.38,5.2,2019-04-04T17:31:12,10.0,,90
27.82,35.28,5.1,2019-04-29T04:43:15,7.51,,91
20.61,40.49,5.3,2019-06-01T04:26:22,25.2,,92
21.25,38.84,4.9,2019-07-13T15:08:42.999000,14.02,,93
21.76,40.21,4.8,2019-07-14T10:50:13,11.57,,94
23.55,38.09,5.3,2019-07-19T11:13:15.999000,10.9,,95
26.86,38.02,4.8,2019-08-08T08:39:07,12.9,,96
25.02,34.4,4.8,2019-08-11T07:02:52.999000,19.91,,97
43.95,41.08,4.7,2019-09-10T16:22:46,9.5,,98
32.97,40.73,4.9,2019-09-14T06:01:28.999000,5.0,,99
26.16,34.25,4.9,2019-09-24T07:48:57,10.0,,100
28.18,40.88,5.7,2019-09-26T10:59:25.999000,11.1,,101
28.59,36.18,5.1,2019-10-03T04:44:58,22.5,,102
17.56,44.35,4.8,2019-11-02T14:11:35,10.0,,103
4.63,44.54,4.9,2019-11-11T10:52:44.999000,10.4,,104
19.54,41.41,6.4,2019-11-26T02:54:12.999000,24.2,,105
17.98,43.2,5.3,2019-11-26T09:19:26.999000,20.6,,106
23.85,35.19,4.8,2019-12-06T08:45:39.999000,8.18,,107
26.29,35.05,4.9,2019-12-12T03:05:43,15.01,,108
20.85,38.26,5.0,2020-01-19T02:52:11,23.6,,109
27.83,39.09,5.6,2020-01-22T19:22:18,10.0,,110
39.2,38.36,6.8,2020-01-24T17:55:16,10.0,,111
27.72,35.19,5.7,2020-01-30T11:21:37,10.0,,112
20.64,39.19,4.7,2020-02-01T21:22:22,15.45,,113
21.45,39.21,4.9,2020-02-06T09:24:14.999000,10.46,,114
26.95,35.76,5.0,2020-02-14T16:02:15.999000,12.58,,115
44.49,38.41,5.9,2020-02-23T16:01:32,10.0,,116
20.59,39.35,5.7,2020-03-21T01:49:53,20.1,,117
15.99,45.88,5.3,2020-03-22T05:24:01.999000,4.7,,118
43.58,38.91,4.7,2020-04-03T05:44:27,10.0,,119
25.75,34.28,6.6,2020-05-02T12:51:06,10.0,,120
40.75,39.44,5.9,2020-06-14T14:24:30,10.0,,121
41.97,38.67,4.7,2020-09-16T14:48:18,5.0,,122
34.18,38.03,5.1,2020-09-20T19:08:08.999000,10.0,,123
24.39,39.99,5.2,2020-09-26T22:50:26,10.0,,124
26.27,35.58,5.2,2020-10-12T04:11:29,10.0,,125
26.82,37.9,7.0,2020-10-30T11:51:27,10.0,,126
20.83,41.66,5.0,2020-11-11T03:54:14.999000,10.6,,127
41.68,38.09,5.0,2020-12-03T05:45:22,10.0,,128
43.51,38.86,4.7,2020-12-14T21:58:44,5.0,,129
24.07,34.65,5.0,2020-12-29T08:06:10,26.44,,130
16.21,45.48,6.4,2020-12-29T11:19:54.999000,10.0,,131
22.05,38.39,5.0,2021-01-12T22:09:57,10.0,,132
26.18,38.97,5.1,2021-02-01T08:35:18.999000,10.0,,133
44.48,40.02,4.7,2021-02-13T11:29:22.999000,11.7,,134
22.29,39.79,6.3,2021-03-04T18:38:20,10.0,,135
27.68,35.17,4.8,2021-03-20T22:50:37.999000,4.91,,136
16.03,42.47,5.4,2021-03-27T13:47:56,10.0,,137
27.15,36.39,5.3,2021-04-13T20:28:05,10.0,,138
20.58,39.77,4.8,2021-07-22T16:49:39,21.9,,139
25.23,35.14,5.0,2021-07-24T02:07:37,13.25,,140
27.05,36.36,5.5,2021-08-01T04:31:26.999000,10.0,,141
30.28,39.03,5.1,2021-08-31T11:04:27,10.0,,142
25.23,35.23,6.0,2021-09-27T06:17:21,10.0,,143
26.25,35.13,6.3,2021-10-12T09:24:05.999000,24.2,,144
27.16,35.59,4.8,2021-10-12T09:32:42,18.86,,145
28.32,34.49,5.9,2021-10-19T05:32:29,19.2,,146
32.15,37.81,5.1,2021-11-08T17:43:22.999000,10.0,,147
31.04,40.9,4.9,2021-11-17T12:40:18,10.0,,148
41.98,39.76,5.0,2021-11-19T12:40:53.999000,10.0,,149
20.41,38.36,4.7,2021-11-19T13:27:06.999000,10.0,,150
43.63,38.88,4.7,2021-12-05T21:46:48,10.0,,151
